STRESSOR_NAME,STRESSOR_ACRONYM
propiconazole,PCAZ
fluroxypyr,FLXP
florasulam,FLSL
metribuzin,METZ
bentazone,BTZN
boscalid,BSCL
pencycuron,PCCR
aclonifen,ACNF
cyprodinil,CPDN
fludioxonil,FDXN
clomazone,CLMZ
chlorfenvinphos,CFVP
spinosad,SPNS
cyazofamid,CZFM
fenamidone,FNMD
imidacloprid,IMDC
mandipropamid,MDPM
2-methyl-4-chlorophenoxyacetic acid (MCPA),MCPA
propamocarb,PPMC
pyridafol,PRDF
thiacloprid,THCP
azoxystrobin,AXSB
bixafen,BXFN
fenpropimorph,FPPM
clopyralid,CPRL
pinoxaden,PNXD
prothioconazole-desthio,PCZ-D
thiabendazole,TBDZ
"1,1'-(2,2-Dichloro-1,1-ethenediyl)bis(4-chlorobenzene)","p,p'-DDE"
"2,6-dichlorobenzamide (BAM)",BAM
diflufenican,DFNC
pyroxsulam,PRSL
dichlorprop,DCHP
carbendazim,CBDZ
mecoprop,MCPP
metalaxyl,MTLX
metamitron,MTMT
propoxycarbazone,PPCZ
pyraclostrobin,PCSB
trifloxystrobin,TOSB
